"COLLEGE
CODE",COLLEGE NAME,BRANCH,BRANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST
2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk,
Salem District 636309",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,137,,,
2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk,
Salem District 636309",ME,MECHANICAL ENGINEERING,,119,,,,,
2346,"Shree Sathyam College of Engineering and Technology, NH-47, Manjakkalpatti, Kuppanur
Post, Sankari Taluk, Salem District 637301",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,104.5,,,,,,
2346,"Shree Sathyam College of Engineering and Technology, NH-47, Manjakkalpatti, Kuppanur
Post, Sankari Taluk, Salem District 637301",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,159,,,
2347,"AVS College of Technology, Attur Main Road, Near AVS College of Arts & Science,
Chinnagoundapuram, Salem District 636106",AG,AGRICULTURAL ENGINEERING,117,,,,,,
2347,"AVS College of Technology, Attur Main Road, Near AVS College of Arts & Science,
Chinnagoundapuram, Salem District 636106",CS,COMPUTER SCIENCE AND ENGINEERING,115.5,,,,,,
2347,"AVS College of Technology, Attur Main Road, Near AVS College of Arts & Science,
Chinnagoundapuram, Salem District 636106",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,141.68,,,
2347,"AVS College of Technology, Attur Main Road, Near AVS College of Arts & Science,
Chinnagoundapuram, Salem District 636106",IT,INFORMATION TECHNOLOGY,,108.5,,,,,
2357,"V S B College of Engineering Technical Campus, Ealur Pirivu, Solavampalayam Post, Coimbatore
District 642109",CS,COMPUTER SCIENCE AND ENGINEERING,98.5,,,,,,
2369,"Government College of Engineering, Chettikkarai Post, Dharmapuri District 635704",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",147.5,133.5,,,,,
2369,"Government College of Engineering, Chettikkarai
Post, Dharmapuri District 635704",ME,MECHANICAL ENGINEERING,,130,,,,,
2377,"PSG Institute of Technology and Applied Research, Avinashi Road, Neelambur, Coimbatore 641062",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,178,,,,,,
2377,"PSG Institute of Technology and Applied Research, Avinashi Road, Neelambur, Coimbatore 641062",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,,168.5,,,,,
2377,"PSG Institute of Technology and Applied Research, Avinashi Road, Neelambur, Coimbatore 641062",ME,MECHANICAL ENGINEERING,166.5,,,,,,
2603,"Government College of Engineering (Autonomous), Bargur, Krishnagiri District 635104",CS,COMPUTER SCIENCE AND ENGINEERING,,,,132,,,
2603,"Government College of Engineering (Autonomous), Bargur, Krishnagiri District 635104",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,,111.5,,
2603,"Government College of Engineering (Autonomous), Bargur, Krishnagiri District 635104",ME,MECHANICAL ENGINEERING,139.5,132.5,,,,,
2606,"Jayam College of Engineering and Technology, Nallanur Post, Dharmapuri District 636813",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",142,,,127.5,,,
2607,"K S Rangasamy College of Technology (Autonomous), Tiruchengode, Namakkal District
637215",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,162,,,
2607,"K S Rangasamy College of Technology (Autonomous), Tiruchengode, Namakkal District
637215",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,163,,,
2607,"K S Rangasamy College of Technology (Autonomous), Tiruchengode, Namakkal District
637215",ME,MECHANICAL ENGINEERING,,,,,123.5,,
2608,"M Kumarasamy College of Engineering (Autonomous), Thalavapalayam, Karur District
639113",IT,INFORMATION TECHNOLOGY,156.5,132.5,,,,,
2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal
District 637503",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,124,,,,,,
2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal
District 637503",CE,CIVIL  ENGINEERING,119,,,,,,
2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal
District 637503",CS,COMPUTER SCIENCE AND ENGINEERING,,137,,,,,
2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal
District 637503",CY,Cyber Security,106.5,,,,,,
2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal
District 637503",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",136.5,113.5,,,,,
2610,"Muthayammal Engineering College (Autonomous), Rasipuram, Namakkal District 637408",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",113.5,102.5,,,,,
2610,"Muthayammal Engineering College (Autonomous), Rasipuram, Namakkal District 637408",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,152,102.5,,,,,
2610,"Muthayammal Engineering College (Autonomous), Rasipuram, Namakkal District 637408",ME,MECHANICAL ENGINEERING,131.5,,,113.5,,,
2611,"Paavai Engineering College (Autonomous) , NH-7, Pachal Post, Namakkal District 637018",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",133.5,,,,,,
2611,"Paavai Engineering College (Autonomous) , NH-7,
Pachal Post, Namakkal District 637018",IT,INFORMATION TECHNOLOGY,134.5,,,,,,
2611,"Paavai Engineering College (Autonomous) , NH-7,
Pachal Post, Namakkal District 637018",SF,Safety and Fire Engineering,,,,83,,,
2612,"P G P College of Engineering and Technology,
Paramathi Post, Namakkal District 637207",CS,"COMPUTER SCIENCE AND
ENGINEERING",146.39,,,,,,
2612,"P G P College of Engineering and Technology,
Paramathi Post, Namakkal District 637207",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",,,,,80.5,,
2612,"P G P College of Engineering and Technology,
Paramathi Post, Namakkal District 637207",ME,MECHANICAL ENGINEERING,105,,,,,,
2613,"K S R College of Engineering (Autonomous),
Tiruchengode, Namakkal District 637215",CE,CIVIL  ENGINEERING,117.5,,,,,,
2613,"K S R College of Engineering (Autonomous),
Tiruchengode, Namakkal District 637215",ME,MECHANICAL ENGINEERING,,,,124.5,,,
2614,"S S M College of Engineering, Komarapalayam, Namakkal District 638183",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,109.5,,,,,
2614,"S S M College of Engineering, Komarapalayam,
Namakkal District 638183",ME,MECHANICAL ENGINEERING,,114,,,,,
2614,"S S M College of Engineering, Komarapalayam,
Namakkal District 638183",TX,TEXTILE TECHNOLOGY,,,,119.5,,,
2615,"Government College of Engineering (Autonomous),
Karuppur, Salem District 636011",CE,CIVIL  ENGINEERING,162,132,,152.15,,,
2615,"Government College of Engineering (Autonomous),
Karuppur, Salem District 636011",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",,175.5,,,,,
2615,"Government College of Engineering (Autonomous),
Karuppur, Salem District 636011",ME,MECHANICAL ENGINEERING,,103,,158.5,,,
2615,"Government College of Engineering (Autonomous),
Karuppur, Salem District 636011",MT,"METALLURGICAL
ENGINEERING",,,,,,138.5,
2617,"Sengunthar Engineering College  (Autonomous), Tiruchengode, Namakkal District 637205",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",130,,,,,,
2617,"Sengunthar Engineering College  (Autonomous),
Tiruchengode, Namakkal District 637205",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",,105.5,,,,,
2617,"Sengunthar Engineering College  (Autonomous),
Tiruchengode, Namakkal District 637205",MD,"MEDICAL ELECTRONICS
ENGINEERING",126,,,,,,
2617,"Sengunthar Engineering College  (Autonomous),
Tiruchengode, Namakkal District 637205",RM,ROBOTICS AND AUTOMATION,,,,109.5,,,
2618,"Sona College of Technology (Autonomous),
Suramangalam Post, Salem District 636005",CD,"COMPUTER SCIENCE AND
DESIGN",,,,147,,,
2623,"Mahendra College of Engineering, Attur Road,
Minnampalli, Valapady, Salem District 636106",AD,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",,,,106.5,,,
2623,"Mahendra College of Engineering, Attur Road,
Minnampalli, Valapady, Salem District 636106",CS,"COMPUTER SCIENCE AND
ENGINEERING",,150.4,,,,,
2623,"Mahendra College of Engineering, Attur Road, Minnampalli, Valapady, Salem District 636106",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,,,114.5,,,
2623,"Mahendra College of Engineering, Attur Road,
Minnampalli, Valapady, Salem District 636106",IT,INFORMATION TECHNOLOGY,,125.5,,,,,
2623,"Mahendra College of Engineering, Attur Road,
Minnampalli, Valapady, Salem District 636106",ME,MECHANICAL ENGINEERING,106,,,,,,
2624,"Gnanamani College of Technology, Pachal Post,
Namakkal District 637018",AD,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",,,,145,,,
2624,"Gnanamani College of Technology, Pachal Post,
Namakkal District 637018",AG,AGRICULTURAL ENGINEERING,116.5,,,,,,
2624,"Gnanamani College of Technology, Pachal Post,
Namakkal District 637018",CS,"COMPUTER SCIENCE AND
ENGINEERING",,109,,,,,
2624,"Gnanamani College of Technology, Pachal Post,
Namakkal District 637018",IT,INFORMATION TECHNOLOGY,143,,,,,,
2624,"Gnanamani College of Technology, Pachal Post,
Namakkal District 637018",ME,MECHANICAL ENGINEERING,130.5,,,,,,
2625,"The Kavery Engineering College, M Kalipatti Post,
Mecheri, Salem District 634456",AD,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",141.5,,,,,,
2625,"The Kavery Engineering College, M Kalipatti Post,
Mecheri, Salem District 634456",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",,,,126.5,,,
2625,"The Kavery Engineering College, M Kalipatti Post,
Mecheri, Salem District 634456",ME,MECHANICAL ENGINEERING,,121,,,,,
2627,"Selvam College of Technology, Pappanaickenpatti Post, Namakkal District 637003",BT,BIO TECHNOLOGY,,,,113.5,,,
2627,"Selvam College of Technology, Pappanaickenpatti Post, Namakkal District 637003",CE,CIVIL  ENGINEERING,100.5,,,,,,
2627,"Selvam College of Technology, Pappanaickenpatti Post, Namakkal District 637003",CS,COMPUTER SCIENCE AND ENGINEERING,,,,105.5,,,
2627,"Selvam College of Technology, Pappanaickenpatti Post, Namakkal District 637003",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,123,119.5,,,,,
2627,"Selvam College of Technology, Pappanaickenpatti Post, Namakkal District 637003",IT,INFORMATION TECHNOLOGY,,105,,,,,
2627,"Selvam College of Technology, Pappanaickenpatti Post, Namakkal District 637003",ME,MECHANICAL ENGINEERING,,,,,117.5,,
2630,"Chettinad College of Engineering and Technology, NH-67, Trichy Main Road, Puliyur C F, Karur District
639114",ME,MECHANICAL ENGINEERING,,,,,106,,
2632,"Mahendra Institute of Technology (Autonomous), Mahendhirapuri, Mallasamudram,  Namakkal District 637503",AM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",155,,,,,,
2632,"Mahendra Institute of Technology (Autonomous), Mahendhirapuri, Mallasamudram,  Namakkal
District 637503",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,128,,,
2632,"Mahendra Institute of Technology (Autonomous), Mahendhirapuri, Mallasamudram,  Namakkal
District 637503",IT,INFORMATION TECHNOLOGY,,117.5,,,,,
2633,"Vidyaa Vikas College of Engineering and Technology, Varahoorampatti, Tiruchengode,
Namakkal District 637 214",CS,COMPUTER SCIENCE AND ENGINEERING,,,,,112,,
2633,"Vidyaa Vikas College of Engineering and Technology, Varahoorampatti, Tiruchengode,
Namakkal District 637 214",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",138,,,,,,
2634,"Excel Engineering College (Autonomous), NH-544, Salem Main Road, Pallakapalayam, Sankari West Post, Komarapalayam Taluk, Namakkal District -
637303",AE,AERONAUTICAL ENGINEERING,148,,,,,,
2634,"Excel Engineering College (Autonomous), NH-544, Salem Main Road, Pallakapalayam, Sankari West Post, Komarapalayam Taluk, Namakkal District -
637303",CS,COMPUTER SCIENCE AND ENGINEERING,129.5,,,,,,
2634,"Excel Engineering College (Autonomous), NH-544, Salem Main Road, Pallakapalayam, Sankari West Post, Komarapalayam Taluk, Namakkal District -
637303",IT,INFORMATION TECHNOLOGY,127,,,,,,
2634,"Excel Engineering College (Autonomous), NH-544, Salem Main Road, Pallakapalayam, Sankari West Post, Komarapalayam Taluk, Namakkal District -
637303",ME,MECHANICAL ENGINEERING,140.5,,,,,,
2635,"CMS College of Engineering, Emapuram Post,
Namakkal District 637003",AD,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",137,,,,,,
2635,"CMS College of Engineering, Emapuram Post,
Namakkal District 637003",CS,"COMPUTER SCIENCE AND
ENGINEERING",,,,127.5,,,
2636,"A V S Engineering College, Military Road,
Ammapet, Salem District 636003",AD,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",116.5,,,,,,
2636,"A V S Engineering College, Military Road,
Ammapet, Salem District 636003",BM,BIO MEDICAL ENGINEERING,,,,154.08,,,
2636,"A V S Engineering College, Military Road,
Ammapet, Salem District 636003",CS,"COMPUTER SCIENCE AND
ENGINEERING",144.5,,,,,,
2636,"A V S Engineering College, Military Road, Ammapet, Salem District 636003",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",134,114.5,,95,,,
2636,"A V S Engineering College, Military Road,
Ammapet, Salem District 636003",ME,MECHANICAL ENGINEERING,,,,,105.5,,
2639,"Narasu's Sarathy Institute of Technology,
Poosaripatty Village, Omalur Taluk, Salem District 636305",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,,,111,,,
2639,"Narasu's Sarathy Institute of Technology, Poosaripatty Village, Omalur Taluk, Salem District
636305",CS,COMPUTER SCIENCE AND ENGINEERING,144,,,,,,
2639,"Narasu's Sarathy Institute of Technology, Poosaripatty Village, Omalur Taluk, Salem District
636305",IT,INFORMATION TECHNOLOGY,111.5,,,,,,
2640,"Jayalakshmi Institute of Technology, Thoppur,
Dharmapuri District 635352",AD,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",,,,126.5,,,
2640,"Jayalakshmi Institute of Technology, Thoppur,
Dharmapuri District 635352",CS,"COMPUTER SCIENCE AND
ENGINEERING",135.33,,,,,,
2640,"Jayalakshmi Institute of Technology, Thoppur, Dharmapuri District 635352",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,107,,,
2640,"Jayalakshmi Institute of Technology, Thoppur,
Dharmapuri District 635352",ME,MECHANICAL ENGINEERING,120.5,104,,,,,
2641,"Varuvan Vadivelan Institute of Technology,
Nallanahalli, Dharmapuri District 636701",CS,"COMPUTER SCIENCE AND
ENGINEERING",136,,,,,,
2641,"Varuvan Vadivelan Institute of Technology,
Nallanahalli, Dharmapuri District 636701",ME,MECHANICAL ENGINEERING,,,,116.5,,,
2642,"P S V College of Engineeering and Technology, Mittapalli, Balinayanapalli Post, Elathagiri,
Krishnagiri District 635108",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,156.5,,,
2642,"P S V College of Engineeering and Technology, Mittapalli, Balinayanapalli Post, Elathagiri,
Krishnagiri District 635108",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,148,,,,,,
2642,"P S V College of Engineeering and Technology, Mittapalli, Balinayanapalli Post, Elathagiri,
Krishnagiri District 635108",IT,INFORMATION TECHNOLOGY,142,,,,,,
2646,"Tagore Institute of Engineering and Technology,
Deviyakurichi, Attur Taluk, Salem District 636112",AD,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",104.5,,,,,,
2646,"Tagore Institute of Engineering and Technology,
Deviyakurichi, Attur Taluk, Salem District 636112",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",115.5,,,,,,
2647,"J K K Nataraja College of Engineering and Technology, Komarapalayam Amani, Thattankuttai Panchayat, Namakkal District 638183",CS,COMPUTER SCIENCE AND ENGINEERING,123,,,,,,
2648,"Annapoorana Engineering College (Autonomous), Sankari Main Road, NH-47, Periaseeragapadi,
Salem District 636308",AU,AUTOMOBILE ENGINEERING,142,,,,,,
2648,"Annapoorana Engineering College (Autonomous),
Sankari Main Road, NH-47, Periaseeragapadi, Salem District 636308",CE,CIVIL  ENGINEERING,165.5,,,,,,
2650,"Christ The King Engineering College, Cecilia Gardens, Chikkarampalayam Village, Coimbatore
District 641104",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,124,,,,,,
2650,"Christ The King Engineering College, Cecilia Gardens, Chikkarampalayam Village, Coimbatore
District 641104",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,102,,,,,,
2651,"Jai Shriram Engineering College, Dharapuram Road, Avinashi Palayam, Tiruppur District 638660",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,144.5,,,,,,
2651,"Jai Shriram Engineering College, Dharapuram Road, Avinashi Palayam, Tiruppur District 638660",CE,CIVIL  ENGINEERING,116.5,,,,,,
2651,"Jai Shriram Engineering College, Dharapuram Road, Avinashi Palayam, Tiruppur District 638660",CS,COMPUTER SCIENCE AND ENGINEERING,,135,,,,,
2652,"AL-Ameen Engineering College (Autonomous), Karundevan Palayam, Nanjai Uthukuli Post, Erode
District 638104",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,144.5,,,,,,
2652,"AL-Ameen Engineering College (Autonomous), Karundevan Palayam, Nanjai Uthukuli Post, Erode
District 638104",CS,COMPUTER SCIENCE AND ENGINEERING,,112,,,,,
2652,"AL-Ameen Engineering College (Autonomous), Karundevan Palayam, Nanjai Uthukuli Post, Erode
District 638104",ME,MECHANICAL ENGINEERING,111,,,,,,
2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,98.5,,,,,,
2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",CS,COMPUTER SCIENCE AND ENGINEERING,135,,,,,,
2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",IT,INFORMATION TECHNOLOGY,,,,133.5,,,
2656,"Builders Engineering college, Nathakadaiyur, Erode Road, Palayakottai Village, Kangeyam, Tiruppur
District 638108",CE,CIVIL  ENGINEERING,135,,,,,,
2656,"Builders Engineering college, Nathakadaiyur, Erode Road, Palayakottai Village, Kangeyam, Tiruppur
District 638108",ME,MECHANICAL ENGINEERING,128.5,,,,,,
2658,"V S A Group of Institutions, NH-47, Uthamasola
Puram Post, Salem District 636010",CS,"COMPUTER SCIENCE AND
ENGINEERING",,103,,,,,
2658,"V S A Group of Institutions, NH-47, Uthamasola
Puram Post, Salem District 636010",ME,MECHANICAL ENGINEERING,,,,,102,,
2659,"Salem College of Engineering and Technology, Salem-Attur Main Road, NH-68, Mettupatty
Perumapalayam, Salem District 636111",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,126,,,,,,
2659,"Salem College of Engineering and Technology, Salem-Attur Main Road, NH-68, Mettupatty
Perumapalayam, Salem District 636111",BM,BIO MEDICAL ENGINEERING,102,,,,,,
2661,"Vivekanandha College of Technology for Women, Sathinaickenpalayam, Elayampalayam Village, Kumaramangalam, Namakkal District 637205",CE,CIVIL  ENGINEERING,152.9,,,,,,
2665,"Mahendra Institute of Engineering and
Technology, Mahendrapuri, Mallasamudram, Namakkal District 637503",CS,COMPUTER SCIENCE AND ENGINEERING,131.5,,,,,,
2683,"Shreenivasa Engineering College, B Pallipatti,
Bommidi, Pappireddipatti Taluk, Dharmapuri District 635301",IT,INFORMATION TECHNOLOGY,122.5,,,,,,
2702,"Bannari Amman Institute of Technology
(Autonomous), Sathyamanagalam, Erode District 638401",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,168,,,,,,
2702,"Bannari Amman Institute of Technology
(Autonomous), Sathyamanagalam, Erode District 638401",AL,Artificial Intelligence and Machine Learning,154,,,,,,
2702,"Bannari Amman Institute of Technology
(Autonomous), Sathyamanagalam, Erode District 638401",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,,152.5,,,,,
2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District
638401",CD,COMPUTER SCIENCE AND DESIGN,,159,,,,,
2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District
638401",CE,CIVIL  ENGINEERING,,,,138,,,
2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District
638401",CS,COMPUTER SCIENCE AND ENGINEERING,,176.5,,110.5,,,
2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District
638401",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",155,151.5,,,,,
2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District
638401",IT,INFORMATION TECHNOLOGY,168,159,,,,,
2704,"Coimbatore Institute of Engineering and Technolgoy (Autonomous), Narasipuram Post,
Coimbatore District 641109",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,145,,,,,,
2704,"Coimbatore Institute of Engineering and Technolgoy (Autonomous), Narasipuram Post,
Coimbatore District 641109",CS,COMPUTER SCIENCE AND ENGINEERING,132.5,127,,,,,
2704,"Coimbatore Institute of Engineering and Technolgoy (Autonomous), Narasipuram Post,
Coimbatore District 641109",ME,MECHANICAL ENGINEERING,,,,148,,,
2706,"Dr. Mahalingam College of  Engineering and Technology (Autonomous), Mackinaickenpatti
Post, Pollachi Taluk, Coimbatore District 642003",AU,AUTOMOBILE ENGINEERING,,,,147.5,,,
2706,"Dr. Mahalingam College of  Engineering and Technology (Autonomous), Mackinaickenpatti
Post, Pollachi Taluk, Coimbatore District 642003",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,130,,,,,,
2706,"Dr. Mahalingam College of  Engineering and Technology (Autonomous), Mackinaickenpatti
Post, Pollachi Taluk, Coimbatore District 642003",IT,INFORMATION TECHNOLOGY,167.5,,,,,,
2707,"Erode Sengunthar Engineering College (Autonomous), Thudupathi Post, Erode District
638057",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,134,124,,,,,
2707,"Erode Sengunthar Engineering College (Autonomous), Thudupathi Post, Erode District
638057",CS,COMPUTER SCIENCE AND ENGINEERING,132.5,,,,,,
2707,"Erode Sengunthar Engineering College (Autonomous), Thudupathi Post, Erode District
638057",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",105,,,,,,
2707,"Erode Sengunthar Engineering College (Autonomous), Thudupathi Post, Erode District
638057",XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),,,,121,,,
2708,"Hindusthan College of Engineering and Technology (Autonomous), Othakkalmandapam Post,
Coimbatore District 641032",CS,COMPUTER SCIENCE AND ENGINEERING,121.5,,,,,,
2709,"Government College of Engineering (Formerly Institute of Road and Transport Technology),
Vasavi College Post, Erode District 638316",AU,AUTOMOBILE ENGINEERING,123,,,,,,
2709,"Government College of Engineering (Formerly Institute of Road and Transport Technology),
Vasavi College Post, Erode District 638316",CE,CIVIL  ENGINEERING,,124.5,,,,,
2709,"Government College of Engineering (Formerly Institute of Road and Transport Technology),
Vasavi College Post, Erode District 638316",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,,112,,
2709,"Government College of Engineering (Formerly Institute of Road and Transport Technology),
Vasavi College Post, Erode District 638316",IT,INFORMATION TECHNOLOGY,180.5,,,,,,
2709,"Government College of Engineering (Formerly Institute of Road and Transport Technology),
Vasavi College Post, Erode District 638316",ME,MECHANICAL ENGINEERING,,170.5,,,,,
2710,"Karpagam College of Engineering (Autonomous), Othakkalmandapam, Coimbatore District 641032",CS,COMPUTER SCIENCE AND ENGINEERING,143,,,,,,
2710,"Karpagam College of Engineering (Autonomous), Othakkalmandapam, Coimbatore District 641032",IT,INFORMATION TECHNOLOGY,,,,,124.5,,
2710,"Karpagam College of Engineering (Autonomous), Othakkalmandapam, Coimbatore District 641032",SC,Computer Science and Engineering (Cyber Security),144.5,,,,,,
2711,"Kongu Engineering College (Autonomous),
Perundurai, Erode District 638052",AD,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",149,145.5,,,,,
2711,"Kongu Engineering College (Autonomous),
Perundurai, Erode District 638052",CS,"COMPUTER SCIENCE AND
ENGINEERING",166.5,163.5,,,,,
2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",128.5,106,,,,,
2711,"Kongu Engineering College (Autonomous),
Perundurai, Erode District 638052",IT,INFORMATION TECHNOLOGY,,,,,,148.5,
2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District
641006",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,176,,,,,,
2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District
641006",AE,AERONAUTICAL ENGINEERING,,,,154,,,
2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District
641006",AU,AUTOMOBILE ENGINEERING,,,,138.5,,,
2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District
641006",CE,CIVIL  ENGINEERING,150,145.5,,,,,
2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District
641006",CS,COMPUTER SCIENCE AND ENGINEERING,191.5,183,,,,,
2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District
641006",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",178,177.5,,,,,
2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District
641006",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,164.5,,,,,,
2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District
641006",ME,MECHANICAL ENGINEERING,168,,,,,,
2713,"M P Nachimuthu M Jaganathan Engineering College, Chennimalai, Erode District 638112",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,117.5,,,
2715,"Nandha Engineering College (Autonomous),
Pitchandampalayam Post, Erode District 638052",BM,BIO MEDICAL ENGINEERING,115,,,,,,
2715,"Nandha Engineering College (Autonomous),
Pitchandampalayam Post, Erode District 638052",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",,,,,124.5,,
2715,"Nandha Engineering College (Autonomous),
Pitchandampalayam Post, Erode District 638052",IT,INFORMATION TECHNOLOGY,,114.5,,,,,
2715,"Nandha Engineering College (Autonomous),
Pitchandampalayam Post, Erode District 638052",SC,"Computer Science and
Engineering (Cyber Security)",149.5,,,,,,
2718,"Sri Krishna College of Enginering and Technology (Autonomous) , Kuniamuthur, Coimbatore District
641008",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,,,153.5,,,
2718,"Sri Krishna College of Enginering and Technology (Autonomous) , Kuniamuthur, Coimbatore District
641008",CE,CIVIL  ENGINEERING,113.5,,,,,,
2718,"Sri Krishna College of Enginering and Technology
(Autonomous) , Kuniamuthur, Coimbatore District 641008",CS,COMPUTER SCIENCE AND ENGINEERING,176.5,173,,,,,
2718,"Sri Krishna College of Enginering and Technology (Autonomous) , Kuniamuthur, Coimbatore District
641008",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,162.5,,,,,
2718,"Sri Krishna College of Enginering and Technology (Autonomous) , Kuniamuthur, Coimbatore District
641008",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,180,153.5,,,,,
2718,"Sri Krishna College of Enginering and Technology (Autonomous) , Kuniamuthur, Coimbatore District
641008",IT,INFORMATION TECHNOLOGY,173,170,,,,,
2718,"Sri Krishna College of Enginering and Technology (Autonomous) , Kuniamuthur, Coimbatore District
641008",ME,MECHANICAL ENGINEERING,157,,,,,,
